phrases,tagged_phrases
starting,starting vbg
startingwith,startingwith nn
starts,starts nns
state,state nn
stated,stated vbn
station,station nn
stations,stations nns
stattion,stattion nn
statues,statues nns
stbd,stbd nn
std,std nn
steel,steel nn
step,step nn
step done,step nn done vbn
steps,steps nns
stethoscope,stethoscope nn
still abit,still rb abit vb
still activated,still rb activated vbn
still faulted,still rb faulted vbn
still havent,still rb havent nn
still in good condition,still rb in in_pos good jj condition nn
still low,still rb low jj
still ok,still rb ok jj
still operational,still rb operational jj
still secure,still rb secure vb
still serviceable,still rb serviceable jj
stock,stock nn
stop,stop nn
stoped,stoped vbd
stopped,stopped vbd
stopper,stopper nn
stopping,stopping vbg
stops,stops nns
stored,stored vbn
straps,straps nns
stretched,stretched vbn
strip,strip nn
stripped,stripped vbd
stripping,stripping vbg
strips,strips nns
stroke,stroke nn
strong,strong jj
strut,strut nn
stub,stub nn
stud,stud nn
studs,studs nns
stuffing,stuffing vbg
sty,sty nn
style,style nn
submitted,submitted vbn
subsided,subsided vbd
successfull,successfull nn
successfully completed,successfully rb completed vbn
suction,suction nn
suiatble,suiatble jj
suitable,suitable jj
sup,sup nn
supervisor,supervisor nn
supplied,supplied vbn
supplies,supplies nns
supply,supply nn
supplying,supplying vbg
supports cableing,supports nns cableing vbg
supt,supt nn
sure,sure nn
surface,surface nn
surfaceremoved,surfaceremoved vbn
survery,survery nn
survey,survey nn
suspect,suspect nn
suspected,suspected vbn
sustem,sustem nn
swapped,swapped vbd
swbd,swbd nn
swict,swict nn
switch,switch nn
switches,switches nns
switches found,switches nns found vbd
switchgear,switchgear nn
swivel,swivel nn
system,system nn
systemconfirmed,systemconfirmed vbn
systems,systems nns
t loose,t nn loose nn
tab,tab nn
tag,tag nn
tags,tags nns
taken,taken vbn
taking,taking vbg
talking,talking vbg
tank,tank nn
tap,tap nn
tapped,tapped nns
taranjeet,taranjeet nn
task,task nn
tasks,tasks nns
tc,tc nn
tco,tco nn
team,team nn
tear,tear nn
tech,tech nn
technician,technician jj
technicians,technicians nns
temos,temos nn
temp,temp nn
temperature,temperature nn
temperaturede,temperaturede nn
temperatures,temperatures nns
tempertures,tempertures nns
temps,temps nns
temps above normal range,temps nns above in_pos normal jj range nn
tension,tension nn
tensioned,tensioned vbn
teodoro,teodoro nn
teps,teps nns
term,term nn
terminal,terminal nn
terminals,terminals nns
termination,termination nn
terminations,terminations nns
test,test nn
tested,tested vbn
tester,tester nn
testing,testing vbg
tests,tests nns
testt,testt nn
tewac,tewac nn
tfs,tfs nn
th,th nn
tha,tha nn
than b,than in_pos b nn
than g,than in_pos g nn
than normal vibration,than in_pos normal jj vibration nn
thank,thank nn
thanks,thanks nns
that ac,that dt ac nn
that ac motor,that dt ac vbz motor nn
that applied,that dt applied vbd
that barite surge,that dt barite nn surge nn
that blower,that dt blower nn
that drive,that dt drive nn
that fault,that dt fault nn
that i,that in_pos i nn
that intermittent,that dt intermittent nn
that job,that dt job nn
that jobwe,that dt jobwe nn
that motor,that dt motor nn
that mud,that dt mud nn
that original converter,that dt original jj converter nn
that pi test,that dt pi vbz test nn
that pump,that dt pump nn
that time,that dt time nn
that water,that dt water nn
thaw,thaw nn
the abnormal,the dt abnormal nn
the above,the dt above nn
the ac,the dt ac nn
the access,the dt access nn
the actions,the dt actions nns
the active,the dt active jj
the acuracy,the dt acuracy nn
the adjustment,the dt adjustment nn
the admin,the dt admin nn
the aft,the dt aft nn
the air,the dt air nn
the aircure,the dt aircure nn
the airflow,the dt airflow nn
the alarm,the dt alarm nn
the aluminium,the dt aluminium nn
the annual,the dt annual jj
the applicable,the dt applicable jj
the appropriate,the dt appropriate nn
the area,the dt area nn
the assembly,the dt assembly nn
the assemilation,the dt assemilation nn
the assistance,the dt assistance nn
the attach,the dt attach nn
the attached,the dt attached jj
the aux,the dt aux nn
the auxiliaries,the dt auxiliaries nns
the availability,the dt availability nn
the available,the dt available jj
the awb,the dt awb nn
the b,the dt b nn
the back,the dt back nn
the bad,the dt bad jj
the ball,the dt ball nn
the barrier,the dt barrier nn
the base,the dt base nn
the baylor,the dt baylor nn
the bearing,the dt bearing nn
the bearings,the dt bearings nns
the below,the dt below nn
the belt,the dt belt nn
the belts,the dt belts nns
the bender,the dt bender nn
the bladder,the dt bladder nn
the blades,the dt blades nns
the block,the dt block nn
the blower,the dt blower nn
the blowers,the dt blowers nns
the boat,the dt boat nn
the bolt,the dt bolt nn
the bolts,the dt bolts nns
the bottom,the dt bottom nn
the box,the dt box nn
the breaker,the dt breaker nn
the bucket,the dt bucket nn
the bulk,the dt bulk nn
the bulletin,the dt bulletin nn
the bus,the dt bus nn
the busbar,the dt busbar nn
the cabinet,the dt cabinet nn
the cable,the dt cable nn
the cables,the dt cables nns
the cabling,the dt cabling nn
the cause,the dt cause nn
the center,the dt center nn
the checks,the dt checks nns
the choke,the dt choke nn
the circuit,the dt circuit nn
the cleanes,the dt cleanes nns
the closed,the dt closed jj
the cm,the dt cm nn
the coiled,the dt coiled jj
the combination,the dt combination nn
the company,the dt company nn
the complete,the dt complete jj
the components,the dt components nns
the conditions,the dt conditions nns
the configuration,the dt configuration nn
the connection,the dt connection nn
the connections,the dt connections nns
the consistent,the dt consistent nn
the contactors,the dt contactors nns
the control,the dt control nn
the cooling,the dt cooling nn
the correct,the dt correct nn
the corrective,the dt corrective nn
the cover,the dt cover nn
the covers,the dt covers nns
the craft,the dt craft nn
the crane,the dt crane nn
the crimps,the dt crimps nns
the cubicle,the dt cubicle nn
the cyber,the dt cyber nn
the damage,the dt damage nn
the data,the dt data nn
the day,the dt day nn
the de,the dt de nn
the deck,the dt deck nn
the defective,the dt defective jj
the demister,the dt demister nn
the derrick,the dt derrick nn
the details,the dt details nns
the difference,the dt difference nn
the direct,the dt direct jj
the dirt,the dt dirt nn
the documents,the dt documents nns
the door,the dt door nn
the draw,the dt draw nn
the drawing,the dt drawing nn
the drill,the dt drill nn
the driller,the dt driller nn
the drillfloor,the dt drillfloor nn
the drilling,the dt drilling nn
the drive,the dt drive nn
the drives,the dt drives nns
the dsgr,the dt dsgr nn
the duct,the dt duct nn
the ducting,the dt ducting nn
the ducts,the dt ducts nns
the eadge,the dt eadge nn
the earth,the dt earth nn
the electric,the dt electric jj
the electrical,the dt electrical jj
the elements,the dt elements nns
the empellor,the dt empellor nn
the encoder,the dt encoder nn
the encoders,the dt encoders nns
the engineering,the dt engineering nn
the engineers,the dt engineers nns
the environment,the dt environment nn
the equipment,the dt equipment nn
the estop,the dt estop nn
the ets,the dt ets nns
the exceptable,the dt exceptable jj
the exception,the dt exception nn
the exterior,the dt exterior nn
the external,the dt external jj
the eyebolt,the dt eyebolt nn
the face,the dt face nn
the fact,the dt fact nn
the fan,the dt fan nn
the fault,the dt fault nn
the faulty,the dt faulty nn
the field,the dt field nn
the file,the dt file nn
the filter,the dt filter nn
the filters,the dt filters nns
the final,the dt final jj
the first,the dt first jj
the fiscal,the dt fiscal jj
the flages,the dt flages nns
the floor,the dt floor nn
the foam,the dt foam nn
the following,the dt following nn
the foundation,the dt foundation nn
the fourth,the dt fourth jj
the frame,the dt frame nn
the front,the dt front nn
the function,the dt function nn
the fundation,the dt fundation nn
the fuse,the dt fuse nn
the future,the dt future nn
the gaskets,the dt gaskets nns
the gauges,the dt gauges nns
the ge,the dt ge nn
the gland,the dt gland nn
the glands,the dt glands nns
the global,the dt global jj
the gom,the dt gom nn
the good,the dt good jj
the ground,the dt ground nn
the guages,the dt guages nns
the guys,the dt guys nns
the handover,the dt handover nn
the heat,the dt heat nn
the heater,the dt heater nn
the heaters,the dt heaters nns
the high,the dt high jj
the hmi,the dt hmi nn
the holes,the dt holes nns
the hose,the dt hose nn
the hot,the dt hot jj
the hour,the dt hour nn
the hours,the dt hours nns
the housing,the dt housing nn
the hp,the dt hp nn
the hub,the dt hub nn
the ibop,the dt ibop nn
the id,the dt id nn
the impeller,the dt impeller nn
the impellers,the dt impellers nns
the impellor,the dt impellor nn
the impellors,the dt impellors nns
the impller,the dt impller nn
the imppler,the dt imppler nn
the incorrect,the dt incorrect nn
the indicator,the dt indicator nn
the initial,the dt initial jj
the inlet,the dt inlet nn
the inputs,the dt inputs nns
the inside,the dt inside nn
the inspection,the dt inspection nn
the instrumentation,the dt instrumentation nn
the insulation,the dt insulation nn
the interior,the dt interior nn
the internal,the dt internal jj
the intrusiveness,the dt intrusiveness nn
the ir,the dt ir nn
the isolation,the dt isolation nn
the issue,the dt issue nn
the item,the dt item nn
the items,the dt items nns
the jbox,the dt jbox nn
the jboxes,the dt jboxes nns
the job,the dt job nn
the junction,the dt junction nn
the lack,the dt lack nn
the last,the dt last jj
the lead,the dt lead nn
the leads,the dt leads nns
the lift,the dt lift nn
the lifting,the dt lifting nn
the list,the dt list nn
the lo,the dt lo nn
the local,the dt local jj
the location,the dt location nn
the loose,the dt loose jj
the louver,the dt louver nn
the louvers,the dt louvers nns
the louvres,the dt louvres nns
the low,the dt low jj
the main,the dt main jj
the mains,the dt mains nns
the maintenance,the dt maintenance nn
the manifold,the dt manifold nn
the manual,the dt manual jj
the manufacturers,the dt manufacturers nns
the marcelo,the dt marcelo nn
the maximum,the dt maximum nn
the mcc,the dt mcc nn
the meaurement,the dt meaurement nn
the mech,the dt mech nn
the mechanic,the dt mechanic nn
the mechanical,the dt mechanical jj
the mechanics,the dt mechanics nns
the megger,the dt megger nn
the men,the dt men nns
the mge,the dt mge nn
the min,the dt min nn
the module,the dt module nn
the moment,the dt moment nn
the moonpool,the dt moonpool nn
the motor,the dt motor nn
the motors,the dt motors nns
the motr,the dt motr nn
the mounting,the dt mounting nn
the mp,the dt mp nn
the mud,the dt mud nn
the mudpumps,the dt mudpumps nns
the name,the dt name nn
the nameplate,the dt nameplate nn
the napro,the dt napro nn
the nd,the dt nd nn
the nde,the dt nde nn
the need,the dt need nn
the new,the dt new jj
the next,the dt next jj
the nitrogen,the dt nitrogen nn
the noise,the dt noise nn
the normal,the dt normal jj
the notes,the dt notes nns
the nov,the dt nov nn
the oem,the dt oem nn
the old,the dt old jj
the open,the dt open jj
the operation,the dt operation nn
the opportunity,the dt opportunity nn
the options,the dt options nns
the original,the dt original jj
the other,the dt other jj
the others,the dt others nns
the outside,the dt outside nn
the overhaul,the dt overhaul nn
the panel,the dt panel nn
the paper,the dt paper nn
the part,the dt part nn
the parts,the dt parts nns
the phases,the dt phases nns
the pictures,the dt pictures nns
the piping,the dt piping nn
the place,the dt place nn
the plan,the dt plan nn
the plane,the dt plane nn
the plate,the dt plate nn
the plug,the dt plug nn
the plugs,the dt plugs nn
the pm,the dt pm nn
the pms,the dt pms nn
the po,the dt po nn
the polarization,the dt polarization nn
the pontus,the dt pontus nn
the power,the dt power nn
the presence,the dt presence nn
the pressure,the dt pressure nn
the problem,the dt problem nn
the proper,the dt proper jj
the pulley,the dt pulley nn
the pulsation,the dt pulsation nn
the pump,the dt pump nn
the pumproom,the dt pumproom nn
the pumps,the dt pumps nns
the purchase,the dt purchase nn
the purge,the dt purge nn
the questionable,the dt questionable jj
the rdco,the dt rdco nn
the reading,the dt reading nn
the readings,the dt readings nns
the rear,the dt rear nn
the recient,the dt recient nn
the reference,the dt reference nn
the referenced,the dt referenced nn
the relief,the dt relief nn
the remedial,the dt remedial nn
the remote,the dt remote nn
the removal,the dt removal nn
the rental,the dt rental nn
the repaired,the dt repaired nn
the replacement,the dt replacement nn
the report,the dt report nn
the requirements,the dt requirements nns
the resistance,the dt resistance nn
the respective,the dt respective nn
the rest,the dt rest nn
the restriction,the dt restriction nn
the results,the dt results nns
the rig,the dt rig nn
the right,the dt right nn
the rigs,the dt rigs nns
the riser,the dt riser nn
the risk,the dt risk nn
the rms,the dt rms nns
the room,the dt room nn
the rotary,the dt rotary nn
the rtd,the dt rtd nn
the rtds,the dt rtds nn
the rubber,the dt rubber nn
the run,the dt run nn
the running,the dt running nn
the rust,the dt rust nn
the s,the dt s nn
the same,the dt same jj
the screen,the dt screen nn
the seals,the dt seals nns
the second,the dt second jj
the sensor,the dt sensor nn
the shaft,the dt shaft nn
the ship,the dt ship nn
the shop,the dt shop nn
the side,the dt side nn
the signal,the dt signal nn
the size,the dt size nn
the skid,the dt skid nn
the software,the dt software nn
the space,the dt space nn
the spare,the dt spare nn
the speed,the dt speed nn
the stand,the dt stand nn
the standpipe,the dt standpipe nn
the stariner,the dt stariner nn
the start,the dt start nn
the stator,the dt stator nn
the steps,the dt steps nns
the store,the dt store nn
the stroke,the dt stroke nn
the strokes,the dt strokes nns
the supply,the dt supply nn
the surface,the dt surface nn
the switch,the dt switch nn
the swivels,the dt swivels nns
the system,the dt system nn
the t,the dt t nn
the tag,the dt tag nn
the tags,the dt tags nn
the tapped,the dt tapped nn
the target,the dt target nn
the task,the dt task nn
the tasks,the dt tasks nns
the tco,the dt tco nn
the temperature,the dt temperature nn
the temperatures,the dt temperatures nns
the terminal,the dt terminal nn
the terminals,the dt terminals nns
the test,the dt test nn
the thermometer,the dt thermometer nn
the third,the dt third jj
the threads,the dt threads nns
the thruster,the dt thruster nn
the time,the dt time nn
the titan,the dt titan nn
the toolpusher,the dt toolpusher nn
the tools,the dt tools nns
the top,the dt top jj
the topside,the dt topside nn
the torque,the dt torque nn
the tray,the dt tray nn
the tripped,the dt tripped nn
the unit,the dt unit nn
the units,the dt units nns
the update,the dt update nn
the use,the dt use nn
the vent,the dt vent nn
the vessel,the dt vessel nn
the vfd,the dt vfd nn
the vfds,the dt vfds nn
the vibration,the dt vibration nn
the voyage,the dt voyage nn
the warm,the dt warm nn
the water,the dt water nn
the way,the dt way nn
the well,the dt well nn
the whole,the dt whole nn
the winding,the dt winding nn
the windings,the dt windings nns
the window,the dt window nn
the wires,the dt wires nns
the wiring,the dt wiring nn
the work,the dt work nn
the worknotes,the dt worknotes nns
the workshop,the dt workshop nn
the year,the dt year nn
the yearly,the dt yearly jj
the yellow,the dt yellow nn
the yr,the dt yr nn
then compared,then rb compared vbn
thermal,thermal nn
thermistors,thermistors nns
thermometer,thermometer nn
these areas,these dt areas nns
these belts,these dt belts nns
these blowers,these dt blowers nns
these checks,these dt checks nns
these drives,these dt drives nns
these holes,these dt holes nns
these levels,these dt levels nns
these models,these dt models nns
these moto,these dt moto nn
these motors,these dt motors nns
these parameters,these dt parameters nns
these particles,these dt particles nns
these parts,these dt parts nns
these procedures,these dt procedures nns
these pump,these dt pump nn
these pumps,these dt pumps nns
these readings,these dt readings nns
these steps,these dt steps nns
these systems,these dt systems nns
these task,these dt task nn
these tasks,these dt tasks nns
these units,these dt units nns
these were,these dt were vbd
theye,theye nn
thick,thick nn
thing,thing nn
third,third jj
this ac,this dt ac nn
this alarm,this dt alarm nn
this base,this dt base nn
this blower,this dt blower nn
this bolt,this dt bolt nn
this cant,this dt cant nn
this cause,this dt cause nn
this data,this dt data nn
this day,this dt day nn
this equipment,this dt equipment nn
this event,this dt event nn
this i,this dt i nn
this inspection,this dt inspection nn
this inverter,this dt inverter nn
this job,this dt job nn
this louver,this dt louver nn
this mcc,this dt mcc nn
this mecahnics,this dt mecahnics nns
this moment,this dt moment nn
this motor,this dt motor nn
this motors,this dt motors nns
this mud,this dt mud nn
this number,this dt number nn
this parameter,this dt parameter nn
this parameters,this dt parameters nns
this parts,this dt parts nns
this pm,this dt pm nn
this point,this dt point nn
this project,this dt project nn
this proposal,this dt proposal nn
this pump,this dt pump nn
this remote,this dt remote nn
this rig,this dt rig nn
this safety,this dt safety nn
this satisfactory,this dt satisfactory nn
this size,this dt size nn
this step,this dt step nn
this system,this dt system nn
this task,this dt task nn
this tasks,this dt tasks nns
this time,this dt time nn
this timeno,this dt timeno nn
this type,this dt type nn
this unit,this dt unit nn
this value,this dt value nn
this vibration,this dt vibration nn
this was,this dt was vbd
thkness,thkness nn
thread,thread nn
threaded,threaded vbd
threads,threads nns
through bolt,through in_pos bolt nn
through with inspection,through in_pos with in_pos inspection nn
thru,thru nn
thru complete,thru nn complete jj
thru completed,thru nn completed vbd
thruster,thruster nn
ti,ti nn
ticket,ticket nn
ties,ties nns
tight,tight nn
tighten,tighten nns
tightened,tightened vbd
tightly mounted,tightly rb mounted vbn
tightness,tightness nn
time,time nn
times,times nns
to be accessed,to to_pos be vb accessed vbn
to be analyzed,to to_pos be vb analyzed vbn
to be carried,to to_pos be vb carried vbn
to be changed,to to_pos be vb changed vbn
to be checked,to to_pos be vb checked vbn
to be cleaned,to to_pos be vb cleaned vbn
to be completed,to to_pos be vb completed vbn
to be configured,to to_pos be vb configured vbn
to be connected,to to_pos be vb connected vbn
to be cracked,to to_pos be vb cracked vbn
to be cut,to to_pos be vb cut vbn
to be done,to to_pos be vb done vbn
to be fitted,to to_pos be vb fitted vbn
to be greased,to to_pos be vb greased vbn
to be inspected,to to_pos be vb inspected vbn
to be installed,to to_pos be vb installed vbn
to be investigated,to to_pos be vb investigated vbn
to be maintained,to to_pos be vb maintained vbn
to be perfomed,to to_pos be vb perfomed vbn
to be performed,to to_pos be vb performed vbn
to be removed,to to_pos be vb removed vbn
to be repaired,to to_pos be vb repaired vbn
to be replaced,to to_pos be vb replaced vbn
to be reported,to to_pos be vb reported vbn
to be sent,to to_pos be vb sent vbn
to be stored,to to_pos be vb stored vbn
to be stripped,to to_pos be vb stripped vbn
to be tested,to to_pos be vb tested vbn
to be updated,to to_pos be vb updated vbn
to deck opened,to to_pos deck vb opened jj
to replace damaged,to to_pos replace vb damaged vbn
to report confirmed,to to_pos report vb confirmed nns
to report consulted,to to_pos report vb consulted vbn
to report equipped,to to_pos report vb equipped nns
to report made,to to_pos report vb made vbn
to stay closed,to to_pos stay vb closed jj
to work instructed,to to_pos work vb instructed jj
today,today nn
tofs,tofs nn
together by mi,together rb by in_pos mi nn
toi,toi nn
toke,toke nn
ton,ton nn
took,took vbd
tool,tool nn
toolpusher,toolpusher nn
tools,tools nns
top,top nn
topping,topping vbg
torque,torque nn
torque megged,torque nn megged vbd
torqued,torqued vbn
town,town nn
tp,tp nn
trace,trace nn
tracking,tracking vbg
transfer,transfer nn
transfered,transfered vbn
transit,transit nn
transmitter,transmitter nn
traume,traume nn
tray,tray nn
trend,trend nn
tricks,tricks nns
tried,tried vbn
trigger,trigger nn
tripped,tripped nns
tripping,tripping vbg
trnasfreed,trnasfreed nn
troubleshoot,troubleshoot nn
troubleshooting,troubleshooting vbg
true,true jj
try,try nn
trying,trying vbg
tthe,tthe nn
tubing,tubing vbg
tucked,tucked nns
turned,turned vbd
type,type nn
u,u nn
unable,unable jj
unc,unc nn
undamaged,undamaged jj
under correct,under in_pos correct nn
under hatch,under in_pos hatch nn
under michael,under in_pos michael nn
under mike,under in_pos mike nn
under tag,under in_pos tag nn
understanding,understanding vbg
unit,unit nn
units,units nns
until final report,until in_pos final jj report nn
unusual,unusual jj
unwired,unwired jj
up checked,up rb checked vbn
up of mud,up in_pos of in_pos mud nn
up prevent access,up rb prevent jj access nn
up terminal box,up in_pos terminal jj box nn
updated,updated vbn
uploaded,uploaded jj
upon further investigation,upon in_pos further jj investigation nn
upon inspection,upon in_pos inspection nn
upon reactivation,upon in_pos reactivation nn
upon visual inspection,upon in_pos visual jj inspection nn
use,use nn
used,used vbn
using,using vbg
v,v nn
v dc,v nn dc nn
value,value nn
values,values nns
valves,valves nns
varghese,varghese jj
various,various jj
vbelts,vbelts nns
vdc,vdc nn
vdcmin,vdcmin nn
velasco,velasco nn
vendor,vendor nn
vendors,vendors nns
vent,vent nn
ventilation,ventilation nn
vents,vents nns
verified,verified vbn
verify,verify nn
verifying,verifying vbg
very clean,very rb clean jj
very ggod,very rb ggod jj
very good,very rb good jj
very little,very rb little jj
very low,very rb low jj
very minimal,very rb minimal jj
very similar,very rb similar jj
vfd,vfd nn
vfds,vfds nn
vibarations,vibarations nns
vibrating,vibrating vbg
vibration,vibration nn
vibrations,vibrations nns
vibrationthe,vibrationthe nn
vincent,vincent nn
visable,visable jj
visible,visible jj
visit,visit nn
visual,visual jj
visualized,visualized vbn
visually checked,visually rb checked vbn
visually examine,visually rb examine vb
visually examined,visually rb examined vbn
visually inspect,visually rb inspect jj
visually inspected,visually rb inspected vbn
visually observed,visually rb observed vbn
visually verified,visually rb verified vbn
visualy,visualy nn
vlaves,vlaves nns
voltage,voltage nn
volts,volts nns
volume,volume nn
vs,vs nn
w,w nn
waiiting,waiiting vbg
wait,wait nn
waiting,waiting vbg
walk,walk nn
warning,warning vbg
warrantymarinesgabbcom,warrantymarinesgabbcom nn
was,was vbd
wash,wash nn
washer,washer nn
washer flat,washer rb flat jj
washers,washers nns
wasnt,wasnt nn
wasnt done,wasnt nn done vbn
watched,watched vbn
water,water nn
watts,watts nn
ways,ways nns
wccm,wccm nn
wear,wear nn
week,week nn
weeks,weeks nns
weight,weight nn
weld,weld nn
welded,welded vbd
welder,welder nn
welding,welding vbg
well,well rb
well aligned,well rb aligned vbn
well bonded,well rb bonded vbn
well recommended,well rb recommended jj
well tds,well rb tds nn
well within range,well rb within in_pos range nn
went,went vbd
were,were vbd
werent,werent nn
while ac motor,while in_pos ac nns motor nn
while blower,while in_pos blower nn
while equipment,while in_pos equipment nn
while fan,while in_pos fan nn
while isolation,while in_pos isolation nn
while motor,while in_pos motor nn
while pump,while in_pos pump nn
whilst,whilst nn
will be carried,will md be vb carried vbn
will be changed,will md be vb changed vbn
will be checked,will md be vb checked vbn
will be closed,will md be vb closed vbn
will be completed,will md be vb completed vbn
will be created,will md be vb created vbn
will be done,will md be vb done vbn
will be expensed,will md be vb expensed vbn
will be lowered,will md be vb lowered vbn
will be made,will md be vb made vbn
will be opened,will md be vb opened vbn
will be performed,will md be vb performed vbn
will be presented,will md be vb presented vbn
will be put,will md be vb put vbn
will be recommended,will md be vb recommended vbn
will be replaced,will md be vb replaced vbn
will be required,will md be vb required vbn
will be revisited,will md be vb revisited vbn
will be scheduled,will md be vb scheduled vbn
will be taken,will md be vb taken vbn
will be tested,will md be vb tested vbn
will be used,will md be vb used vbn
winding,winding vbg
windings,windings nns
windows,windows nns
windows on end,windows nns on in_pos end nn
wiped,wiped vbd
wire,wire nn
wired,wired vbd
wireline,wireline nn
wires,wires nns
wiring,wiring nn
wirings,wirings nns
with ac motor,with in_pos ac jj motor nn
with air,with in_pos air nn
with antisieze,with in_pos antisieze nn
with assembling,with in_pos assembling vbg
with bl,with in_pos bl nn
with bleed,with in_pos bleed nn
with bop test,with in_pos bop jj test nn
with brush,with in_pos brush nn
with c,with in_pos c nns
with clamp,with in_pos clamp nn
with closed loop,with in_pos closed jj loop nn
with day,with in_pos day nn
with deflection,with in_pos deflection nn
with dirt,with in_pos dirt nn
with drill,with in_pos drill nn
with driller,with in_pos driller nn
with drilling,with in_pos drilling nn
with dry air,with in_pos dry jj air nn
with earth bond,with in_pos earth jj bond nn
with electrical supervisor,with in_pos electrical jj supervisor nn
with engineering,with in_pos engineering nn
with extech ir,with in_pos extech jj ir nn
with eye,with in_pos eye nn
with function,with in_pos function nn
with good ir,with in_pos good jj ir nn
with good operating,with in_pos good jj operating nn
with grease,with in_pos grease nn
with halliburton,with in_pos halliburton nn
with heater,with in_pos heater nn
with help,with in_pos help nn
with hp,with in_pos hp nn
with ibop,with in_pos ibop nn
with interlock,with in_pos interlock nn
with ir gun,with in_pos ir jj gun nn
with iso motor,with in_pos iso jj motor nn
with itthis,with in_pos itthis nn
with jbox,with in_pos jbox nn
with lead,with in_pos lead nn
with loss,with in_pos loss nn
with low air,with in_pos low jj air nn
with lucas,with in_pos lucas nn
with maintenance,with in_pos maintenance nn
with manual probe,with in_pos manual jj probe nn
with manual tool,with in_pos manual jj tool nn
with minimal dirt,with in_pos minimal jj dirt nn
with moisture,with in_pos moisture nn
with motor,with in_pos motor nn
with movable chain,with in_pos movable jj chain nn
with mp drive,with in_pos mp nns drive vbp
with mud,with in_pos mud nn
with mud pump,with in_pos mud jj pump nn
with new pump,with in_pos new jj pump nn
with nitrogen,with in_pos nitrogen nn
with nitrogen stroke,with in_pos nitrogen jj stroke nn
with ns line,with in_pos ns jj line nn
with only mph,with in_pos only rb mph nn
with other blower,with in_pos other jj blower nn
with paint,with in_pos paint nn
with paul dunkerley,with in_pos paul nn dunkerley nn
with pump,with in_pos pump nn
with rag,with in_pos rag nn
with rags fan,with in_pos rags nns fan nn
with red alarm,with in_pos red jj alarm nn
with reference,with in_pos reference nn
with remote start,with in_pos remote jj start nn
with rubber,with in_pos rubber nn
with small amount,with in_pos small jj amount nn
with soft start,with in_pos soft jj start nn
with spare,with in_pos spare jj
with spare motor,with in_pos spare jj motor nn
with stethoscope,with in_pos stethoscope nn
with surface,with in_pos surface nn
with technical recommendation,with in_pos technical jj recommendation nn
with temperature,with in_pos temperature nn
with test,with in_pos test nn
with third party,with in_pos third jj party nn
with torque wrench,with in_pos torque jj wrench nn
with traume,with in_pos traume nn
with vibration,with in_pos vibration nn
within tolerance,within in_pos tolerance nn
without abnormal vibrationsbalancing,without in_pos abnormal jj vibrationsbalancing nn
without action,without in_pos action nn
without complete diassembly,without in_pos complete jj diassembly nn
without damage,without in_pos damage nn
without problem,without in_pos problem nn
without pump,without in_pos pump nn
without sealed bearing,without in_pos sealed vbn bearing nn
wobble,wobble jj
wont,wont nn
work,work nn
worked,worked vbn
working,working vbg
works,works nns
workshop,workshop nn
worth,worth nn
wouldnt,wouldnt nn
x,x nn
year,year nn
yellow,yellow nn
zone,zone nn
